168:  (4)002200, 1:  (6)002220
169:  (4)002020, 1:  (6)002220
170:  (4)202000, 224:  (6)212100
171:  (4)202000, 224:  (6)212100
172:  (4)002200, 1:  (6)002220
173:  (4)200200, 253:  (6)200220
174:  (4)000220, 1:  (6)002220
175:  (4)002200, 1:  (6)002220
176:  (4)200200, 253:  (6)200220
177:  (4)002200, 1:  (6)002220
178:  (4)200200, 253:  (6)200220
179:  (4)002200, 1:  (6)002220
180:  (4)000220, 1:  (6)002220
181:  (4)200020, 241:  (6)210120
182:  (4)000220, 1:  (6)002220
183:  (4)002020, 1:  (6)002220
184:  (4)000220, 1:  (6)002220
185:  (4)200020, 241:  (6)210120
186:  (4)002020, 1:  (6)002220
187:  (4)200020, 241:  (6)210120
188:  (4)000220, 1:  (6)002220
189:  (4)002020, 1:  (6)002220
190:  (4)020200, 61:  (6)022200
191:  (4)020020, 109:  (6)120120
192:  (4)022000, 61:  (6)022200
193:  (4)020200, 61:  (6)022200
194:  (4)022000, 61:  (6)022200
195:  (4)020020, 109:  (6)120120
196:  (4)002200, 1:  (6)002220
197:  (4)002020, 1:  (6)002220
198:  (4)022000, 61:  (6)022200
199:  (4)022000, 61:  (6)022200
200:  (4)002020, 1:  (6)002220
201:  (4)022000, 61:  (6)022200
202:  (4)002200, 1:  (6)002220
203:  (4)002200, 1:  (6)002220
204:  (4)020200, 61:  (6)022200
205:  (4)002200, 1:  (6)002220
206:  (4)020200, 61:  (6)022200
207:  (4)000220, 1:  (6)002220
208:  (4)002200, 1:  (6)002220
209:  (4)000220, 1:  (6)002220
210:  (4)020200, 61:  (6)022200
211:  (4)000220, 1:  (6)002220
212:  (4)002020, 1:  (6)002220
213:  (4)000220, 1:  (6)002220
214:  (4)020020, 109:  (6)120120
215:  (4)002020, 1:  (6)002220
216:  (4)020020, 109:  (6)120120
217:  (4)002020, 1:  (6)002220
218:  (4)020020, 109:  (6)120120
219:  (4)000220, 1:  (6)002220
220:  (5)301010, -1: 
221:  (5)310100, -1: 
222:  (5)301100, -1: 
223:  (5)300110, -1: 
224:  (5)310010, -1: 
225:  (5)311000, -1: 
226:  (5)301010, -1: 
227:  (5)310100, -1: 
228:  (5)301100, -1: 
229:  (5)300110, -1: 
230:  (5)310010, -1: 
231:  (5)311000, -1: 
232:  (5)301010, -1: 
233:  (5)310100, -1: 
234:  (5)211010, 223:  (6)211110
235:  (5)301100, -1: 
236:  (5)210110, 223:  (6)211110
237:  (5)300110, -1: 
238:  (5)310010, -1: 
239:  (5)311000, -1: 
240:  (5)211100, 223:  (6)211110
241:  (5)201110, 223:  (6)211110
242:  (5)301010, -1: 
243:  (5)310100, -1: 
244:  (5)211010, 223:  (6)211110
245:  (5)301100, -1: 
246:  (5)210110, 223:  (6)211110
247:  (5)300110, -1: 
248:  (5)310010, -1: 
249:  (5)311000, -1: 
250:  (5)211100, 223:  (6)211110
251:  (5)201110, 223:  (6)211110
252:  (5)301010, -1: 
253:  (5)310100, -1: 
254:  (5)211010, 223:  (6)211110
255:  (5)301100, -1: 
256:  (5)210110, 223:  (6)211110
257:  (5)300110, -1: 
