0:  (7)321010, 596:  (9)332010
1:  (7)321010, 596:  (9)332010
2:  (7)321010, 596:  (9)332010
3:  (7)321010, 596:  (9)332010
4:  (7)321100, 597:  (9)322110
5:  (7)321100, 597:  (9)322110
6:  (7)321100, 597:  (9)322110
7:  (7)321100, 597:  (9)322110
8:  (7)320110, 597:  (9)322110
9:  (7)320110, 597:  (9)322110
10:  (7)320110, 597:  (9)322110
11:  (7)320110, 597:  (9)322110
12:  (7)310120, 638:  (9)321120
13:  (7)310120, 638:  (9)321120
14:  (7)310120, 638:  (9)321120
15:  (7)310120, 638:  (9)321120
16:  (7)301120, 638:  (9)321120
17:  (7)301120, 638:  (9)321120
18:  (7)301120, 638:  (9)321120
19:  (7)301120, 638:  (9)321120
20:  (7)311020, 637:  (9)331020
21:  (7)311020, 637:  (9)331020
22:  (7)311020, 637:  (9)331020
23:  (7)311020, 637:  (9)331020
24:  (7)301210, 757:  (9)312210
25:  (7)310210, 757:  (9)312210
26:  (7)311200, 757:  (9)312210
27:  (7)301210, 757:  (9)312210
28:  (7)312100, 597:  (9)322110
29:  (7)302110, 597:  (9)322110
30:  (7)312010, 596:  (9)332010
31:  (7)310210, 757:  (9)312210
32:  (7)311200, 757:  (9)312210
33:  (7)312100, 597:  (9)322110
34:  (7)302110, 597:  (9)322110
35:  (7)312010, 596:  (9)332010
36:  (7)312100, 597:  (9)322110
37:  (7)312100, 597:  (9)322110
38:  (7)302110, 597:  (9)322110
39:  (7)302110, 597:  (9)322110
40:  (7)312010, 596:  (9)332010
41:  (7)312010, 596:  (9)332010
42:  (7)301210, 757:  (9)312210
43:  (7)301210, 757:  (9)312210
44:  (7)310210, 757:  (9)312210
45:  (7)310210, 757:  (9)312210
46:  (7)311200, 757:  (9)312210
47:  (7)311200, 757:  (9)312210
48:  (7)231010, 464:  (9)232110
49:  (7)231010, 464:  (9)232110
50:  (7)231010, 464:  (9)232110
51:  (7)231010, 464:  (9)232110
52:  (7)230110, 464:  (9)232110
53:  (7)230110, 464:  (9)232110
54:  (7)230110, 464:  (9)232110
55:  (7)230110, 464:  (9)232110
56:  (7)231100, 463:  (9)233100
57:  (7)231100, 463:  (9)233100
58:  (7)231100, 463:  (9)233100
59:  (7)231100, 463:  (9)233100
60:  (7)130120, 361:  (9)131220
61:  (7)131020, 361:  (9)131220
62:  (7)031120, 361:  (9)131220
63:  (7)130120, 361:  (9)131220
64:  (7)031210, 315:  (9)132210
65:  (7)130210, 315:  (9)132210
66:  (7)131020, 361:  (9)131220
67:  (7)131200, 314:  (9)133200
68:  (7)031120, 361:  (9)131220
69:  (7)132100, 314:  (9)133200
70:  (7)031210, 315:  (9)132210
71:  (7)032110, 315:  (9)132210
72:  (7)132010, 315:  (9)132210
73:  (7)130210, 315:  (9)132210
74:  (7)131200, 314:  (9)133200
75:  (7)132100, 314:  (9)133200
76:  (7)132100, 314:  (9)133200
77:  (7)132100, 314:  (9)133200
78:  (7)032110, 315:  (9)132210
79:  (7)032110, 315:  (9)132210
80:  (7)032110, 315:  (9)132210
81:  (7)132010, 315:  (9)132210
82:  (7)132010, 315:  (9)132210
83:  (7)132010, 315:  (9)132210
84:  (7)130120, 361:  (9)131220
85:  (7)130120, 361:  (9)131220
86:  (7)131020, 361:  (9)131220
87:  (7)131020, 361:  (9)131220
88:  (7)031120, 361:  (9)131220
89:  (7)031120, 361:  (9)131220
90:  (7)031210, 315:  (9)132210
91:  (7)130210, 315:  (9)132210
92:  (7)131200, 314:  (9)133200
93:  (7)031210, 315:  (9)132210
94:  (7)130210, 315:  (9)132210
95:  (7)131200, 314:  (9)133200
96:  (7)123010, 62:  (9)123210
97:  (7)213010, 224:  (9)213210
98:  (7)123100, 62:  (9)123210
99:  (7)213100, 224:  (9)213210
100:  (7)023110, 61:  (9)023310
101:  (7)203110, 224:  (9)213210
102:  (7)213010, 224:  (9)213210
103:  (7)103120, 3:  (9)113220
104:  (7)113020, 3:  (9)113220
105:  (7)213100, 224:  (9)213210
106:  (7)013120, 2:  (9)013320
107:  (7)203110, 224:  (9)213210
108:  (7)103210, 3:  (9)113220
109:  (7)013210, 2:  (9)013320
110:  (7)103120, 3:  (9)113220
111:  (7)113200, 3:  (9)113220
112:  (7)113020, 3:  (9)113220
113:  (7)013120, 2:  (9)013320
114:  (7)103210, 3:  (9)113220
115:  (7)103210, 3:  (9)113220
116:  (7)103210, 3:  (9)113220
117:  (7)013210, 2:  (9)013320
118:  (7)013210, 2:  (9)013320
119:  (7)013210, 2:  (9)013320
120:  (7)113200, 3:  (9)113220
121:  (7)113200, 3:  (9)113220
122:  (7)113200, 3:  (9)113220
123:  (7)123010, 62:  (9)123210
124:  (7)123010, 62:  (9)123210
125:  (7)123010, 62:  (9)123210
126:  (7)123100, 62:  (9)123210
127:  (7)123100, 62:  (9)123210
128:  (7)123100, 62:  (9)123210
129:  (7)023110, 61:  (9)023310
130:  (7)023110, 61:  (9)023310
131:  (7)023110, 61:  (9)023310
132:  (7)213010, 224:  (9)213210
133:  (7)213010, 224:  (9)213210
134:  (7)213100, 224:  (9)213210
135:  (7)213100, 224:  (9)213210
136:  (7)203110, 224:  (9)213210
137:  (7)203110, 224:  (9)213210
138:  (7)103120, 3:  (9)113220
139:  (7)113020, 3:  (9)113220
